TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
AHR,IL1B,Unknown,23349129
AHR,IL6,Activation,20511231
AHR,IL6,Unknown,18483242;23349129
AR,HMOX1,Activation,11965035
AR,IGF1R,Activation,15033751;17202144
AR,TH,Activation,16356647
ASCL1,IGF2,Repression,20842449
ATF1,TH,Unknown,11108136
ATF2,INS,Activation,21278380
ATF2,INS,Unknown,10909971
ATF2,TNF,Activation,10688670;10748079;10913190;20068037
ATF4,DDIT4,Activation,19059405;19439225
ATF4,IL6,Unknown,16931790
ATM,IGF1R,Unknown,11172010
BACH1,HMOX1,Activation,17942419
BACH1,HMOX1,Repression,17409198;18550526;21982894
BCL6,FCER2,Repression,11342629
BRCA1,IGF1R,Unknown,11001824;19223505
CDCA7L,MAOB,Repression,20980443
CDX2,ABCB1,Unknown,20699370
CDX2,GSK3B,Unknown,24501326
CDX2,GSTP1,Unknown,22580340
CEBPA,HSPA4,Activation,2247079
CEBPA,IGF2,Unknown,7659086
CEBPA,IL6,Unknown,11975924
CEBPA,INSR,Activation,8288055
CEBPB,ABCB1,Activation,15044620
CEBPB,IL1B,Activation,17386941
CEBPB,IL1B,Unknown,10383163;10801783
CEBPB,IL6,Activation,10903137;8725624
CEBPB,IL6,Unknown,11120852
CEBPB,INSR,Activation,8288055
CEBPB,TNF,Unknown,10629048;9566900
CEBPD,SOD1,Activation,20385105
CEBPD,TNF,Unknown,10629048
CIITA,HLA-DRA,Activation,9600954
CIITA,HLA-DRA,Unknown,10886240;11429551;11889043;9300692
CIITA,HLA-DRB5,Unknown,10886240
CREB1,BDNF,Activation,11719924
CREB1,GSK3B,Unknown,11579131
CREB1,HMOX1,Repression,14523007
CREB1,IL6,Activation,8725624
CREB1,TH,Unknown,11108136
CREG1,HSPA4,Repression,9710587
CREM,TH,Unknown,11108136
CRTC1,PPARGC1A,Activation,10893434
CTCF,IGF2,Unknown,18458536;20966046;21536749;24725430
DDB2,SOD2,Repression,18431487
DDIT3,IL6,Activation,12706815
DDX5,IGF2,Unknown,20966046
E2F1,ABCB1,Activation,23542036
E2F1,IL1B,Unknown,17707233
E2F1,MAP3K5,Activation,16476732;17287612
E2F1,MAP3K5,Unknown,16512785;19610065
E2F1,TNF,Unknown,17707233
E2F2,MAP3K5,Unknown,16512785
E2F3,MAP3K5,Unknown,16512785
E2F4,MAP3K5,Unknown,16512785
EAPP,ABCB1,Activation,23542036
EAPP,MAOB,Repression,20980443
EGR1,ABCB1,Activation,11488907;7565762
EGR1,ABCB1,Unknown,10392899;10860921
EGR1,FCER2,Repression,9300687
EGR1,GDNF,Unknown,9729303
EGR1,IGF2,Activation,8634146
EGR1,IGF2,Unknown,10606246;11336542;9610618
EGR1,IL6,Repression,15517885
EGR1,SOD1,Activation,9867871
EGR1,TH,Unknown,20124442
