TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
AATF,BAX,Repression,22909821
AATF,TP53,Unknown,17157788
ABL1,BAX,Activation,11753601
ABL1,BCL2,Repression,11753601
ABL1,TP53,Activation,11753601
AHR,IL1B,Unknown,23349129
AHR,IL6,Activation,20511231
AHR,IL6,Unknown,18483242;23349129
AHR,MT2A,Unknown,23994556
AIP,TFF1,Repression,21984905
APBB1,GMPS,Repression,21453247
APC,AKT1,Repression,15888491
APC,NOS2,Activation,11935128
APC,PTGS2,Repression,10772828;12566320
APC,PTGS2,Unknown,11396184
APC,SGK1,Repression,18487207
APEX1,CCL2,Activation,17045925
AR,AKT1,Activation,11278645
AR,AKT1,Repression,20589722
AR,CRH,Repression,16446741
AR,CTNNB1,Activation,18535113
AR,HMOX1,Activation,11965035
AR,IGF1R,Activation,15033751;17202144
AR,PTGS2,Repression,18386814
AR,REST,Repression,24163104
AR,TCF7L2,Unknown,12799378
AR,TH,Activation,16356647
AR,VEGFA,Activation,16007189
AR,VEGFA,Unknown,23369005
ARID3A,CDK1,Unknown,23659165
ARNT,CTSD,Unknown,9611253
ARNT,EPO,Activation,8663540
ARNT,ESR1,Unknown,17991765
ARNT,RELB,Unknown,17900530
ARNT,VEGFA,Unknown,16774940;19020709
ARNTL2,SERPINE1,Activation,22198637
ASCL1,DKK1,Repression,19744316
ASCL1,IGF2,Repression,20842449
ASH1L,TGFB1,Unknown,22488473
ATF1,BCL2,Unknown,10542244
ATF1,GABPA,Unknown,10585419
ATF1,IL10,Activation,10540320
ATF1,TGFB2,Activation,11776974
ATF1,TH,Unknown,11108136
ATF2,FAS,Unknown,19670268
ATF2,IFNG,Activation,12836278;18641343;20006311;20304822
ATF2,INS,Activation,21278380
ATF2,INS,Unknown,10909971
ATF2,NOS3,Repression,16497991
ATF2,PLAU,Unknown,10454570
ATF2,PTGS2,Unknown,11278336;12057991
ATF2,TGFB2,Repression,1400310
ATF2,TNF,Activation,10688670;10748079;10913190;20068037
ATF3,IFNG,Activation,20304822
ATF3,LDLR,Repression,21294679
ATF3,TP53,Unknown,22991139
ATF4,APOE,Activation,22028770
ATF4,CCL2,Unknown,16931790
ATF4,CXCL8,Unknown,16931790
ATF4,IL6,Unknown,16931790
ATF4,PLAU,Activation,18829529
ATF4,PTGS2,Unknown,21244365
ATF4,SIGMAR1,Activation,22079628
ATF4,SIRT1,Activation,22363646
ATF4,SIRT1,Repression,21801305
ATF4,SIRT2,Repression,21801305
ATF4,VEGFA,Activation,15788408;18829529
ATF4,VEGFA,Unknown,18451308;22915762;23908598
ATF5,BCL2,Activation,21212266
ATF5,CREB1,Activation,17140605
ATF6,RTN3,Activation,17191123
ATM,BAX,Activation,16214353
ATM,BCL2,Repression,16214353
ATM,FAS,Activation,19502594
ATM,IGF1R,Unknown,11172010
ATM,PVR,Activation,21406724
ATM,PVR,Repression,21406724
ATM,VEGFA,Repression,20676049
BACH1,HMOX1,Activation,17942419
BACH1,HMOX1,Repression,17409198;18550526;21982894
BACH2,BCL2,Unknown,18929412
BARD1,ESR1,Activation,20060929
BARX2,ESR1,Unknown,16636675
BCL11A,GATA1,Activation,23071749
BCL11A,GATA1,Unknown,20542454
BCL3,CTCF,Repression,21912613
BCL3,EGFR,Activation,17881446
BCL3,MYB,Unknown,9694711
BCL3,NFKB1,Repression,11387332
BCL3,NFKB1,Unknown,14573596;7896265
BCL3,RELA,Unknown,7896265
BDP1,TP53,Unknown,12734418
BIN1,MYC,Unknown,9797456
BRCA1,BRCA2,Unknown,11405179
BRCA1,CTSD,Repression,11244506
BRCA1,CYP19A1,Activation,21087664
BRCA1,CYP19A1,Unknown,19445691
BRCA1,ESR1,Activation,20060929
BRCA1,IGF1,Repression,18045956
BRCA1,IGF1R,Unknown,11001824;19223505
BRCA1,KHSRP,Repression,21099359
BRCA1,SIRT1,Activation,18851829;20160719;21407215;9000507
BRCA1,TFF1,Repression,11244506
BRCA1,VEGFA,Activation,16543242
BRCA2,DMC1,Unknown,17541404
BRCA2,PSMD3,Unknown,17563742
BRCA2,PSMD6,Unknown,17563742
BRCA2,RAD51,Unknown,12967658;17515904;19628690;20729859
BTF3,EPHB2,Activation,17312387
CBFB,GATA1,Unknown,8683991
CDCA7L,MAOB,Repression,20980443
CDX1,PPARG,Activation,19059241
CDX1,PTGS2,Activation,21613300
CDX2,ABCB1,Unknown,20699370
CDX2,GSK3B,Unknown,24501326
CDX2,PTGS2,Repression,15013430
CDX2,VDR,Unknown,11450701;16604479;16883525;19960008
CEBPA,ALB,Unknown,10542249
CEBPA,BCL2,Repression,12970736
CEBPA,CCL2,Activation,24429361
CEBPA,CRMP1,Unknown,18524846
CEBPA,GAPDH,Unknown,12842822
CEBPA,HSPA4,Activation,2247079
CEBPA,IGF1,Activation,7708053
CEBPA,IGF2,Unknown,7659086
CEBPA,IL10,Unknown,12219016
CEBPA,IL6,Unknown,11975924
CEBPA,INSR,Activation,8288055
CEBPA,LEP,Activation,21983012
CEBPA,SPI1,Unknown,24429361
CEBPA,VLDLR,Unknown,10064725
CEBPB,ABCB1,Activation,15044620
CEBPB,ALB,Unknown,10542249
CEBPB,CRP,Activation,12667216;23361365
CEBPB,CXCL8,Activation,15085176;15688424
CEBPB,CXCL8,Unknown,11120852
CEBPB,CYP19A1,Repression,11994385
CEBPB,CYP19A1,Unknown,7635140;8603036
CEBPB,DAPK1,Unknown,19521987
CEBPB,HSF1,Unknown,11801594
CEBPB,IL10,Unknown,12493739
CEBPB,IL1B,Activation,17386941
CEBPB,IL1B,Unknown,10383163;10801783
CEBPB,IL4,Activation,7594540
CEBPB,IL4,Unknown,15048722
CEBPB,IL6,Activation,10903137;8725624
CEBPB,IL6,Unknown,11120852
CEBPB,INSR,Activation,8288055
CEBPB,PTGS2,Activation,16820889;18294142
CEBPB,PTGS2,Repression,18820298
CEBPB,PTGS2,Unknown,10956548;16699180;17556653;7559624
CEBPB,TNF,Unknown,10629048;9566900
CEBPD,C3,Unknown,8385337
CEBPD,CASP8,Unknown,24810056
CEBPD,CYP19A1,Repression,11994385
CEBPD,GAPDH,Unknown,12842822
CEBPD,PPARG,Activation,10649448;18619497;20971808
CEBPD,PTGS2,Unknown,7559624
CEBPD,SOD1,Activation,20385105
CEBPD,TNF,Unknown,10629048
CEBPE,GATA1,Repression,12202480
CEBPE,SPI1,Repression,12202480
CIITA,HLA-DRB1,Unknown,10886240
CIITA,HLA-DRB5,Unknown,10886240
CIITA,IL4,Activation,10946277
CIITA,IL4,Repression,10946277;17645498
CIITA,IRF2,Unknown,15950283
CIITA,MMP9,Repression,15247301
CIITA,SIRT1,Repression,22064865
CLOCK,BHLHE40,Activation,19032342
CLOCK,BHLHE41,Activation,14672706
CLOCK,CRY1,Activation,22750052
CLOCK,CRY1,Unknown,17660446
