TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
CLOCK,NR3C1,Repression,21164265
CREB1,BCL2,Activation,17290286
CREB1,BCL2,Unknown,10542244;19626458
CREB1,BDNF,Activation,11719924
CREB1,CASP8,Activation,18342014
CREB1,CYP19A1,Activation,15955695;16740737
CREB1,GABPA,Unknown,10585419
CREB1,GSK3B,Unknown,11579131
CREB1,HMOX1,Repression,14523007
CREB1,IFNG,Activation,20006311;20685939
CREB1,IFNG,Repression,11907114
CREB1,IFNG,Unknown,7759501
CREB1,IL10,Activation,10540320;22140263
CREB1,IL10,Unknown,17202341
CREB1,IL6,Activation,8725624
CREB1,NPY,Unknown,12967770
CREB1,PLAU,Unknown,11776974
CREB1,PSEN1,Activation,11116137
CREB1,PTGS2,Activation,22919060
CREB1,TH,Unknown,11108136
CTNNB1,PTGS2,Unknown,11396184
ENO1,PTGS2,Unknown,19846662
ESR1,BCL2,Activation,19148464
ESR1,BCL2,Unknown,10542244;11261829;9306964
ESR1,CHAT,Unknown,10037443
ESR1,CRH,Repression,12161509
ESR1,CTNNB1,Repression,16628468
ESR1,CTSD,Unknown,10037443;19569049
ESR1,CYP19A1,Activation,12839940
ESR1,ESR1,Unknown,16636675
ESR1,HSPB1,Activation,10960840
ESR1,SERPINE1,Activation,15217907
ESR1,TFF1,Activation,11517191;18543253
ESR1,TFF1,Unknown,10037443;21984905
ESR1,TP53,Repression,17681750
ESR1,VEGFA,Activation,19398483
ESR1,VEGFA,Unknown,10995484;14647449
ESR2,BRCA2,Repression,18765668
ESR2,CD68,Unknown,11517296
ESR2,CHAT,Unknown,10037443
ESR2,CRH,Repression,12161509
ESR2,CTSD,Unknown,10037443
ESR2,INSR,Repression,22099628
ESR2,SERPINE1,Repression,15217907
ESR2,TFF1,Activation,11517191
ESR2,TFF1,Unknown,10037443
ESR2,VEGFA,Unknown,10995484
GATA1,BACE1,Unknown,12815710
GATA1,DPYSL2,Unknown,15207709
GATA1,EPO,Activation,16471262
GATA1,EPO,Repression,8677751
GATA1,F13A1,Unknown,10037697
GATA1,GATA1,Activation,16492768
GATA1,GATA1,Unknown,17628529;20542454
GATA1,IFNG,Unknown,12836278
GATA1,SPI1,Repression,10753833
GLIS3,INS,Unknown,23856252
HDAC9,APP,Unknown,20145244
HDAC9,ESR1,Repression,19185986
HDAC9,IL18,Unknown,11944905
HDAC9,TP53,Repression,15964798
HSF1,ABCB1,Unknown,10816597
HSF1,HSPA4,Activation,12813038;23349863;8114740;8455624
HSF1,HSPA4,Unknown,1508207;15777846;16554822;22940245;23264262
HSF1,IL1B,Repression,10328874
HSF1,SERPINE1,Activation,17259369;19401454
HSF1,TNF,Unknown,18689673
HSF1,UBB,Unknown,20692357
IKBKB,CXCL8,Unknown,12296854
IKBKB,MMP9,Repression,18600306
IKBKB,NOS2,Repression,17478759
IKBKB,TP53,Unknown,24006445
IRF2,DST,Repression,15560761
IRF2,IL4,Unknown,7930616
KHDRBS1,IGF2,Activation,12849008
KHDRBS1,LEP,Activation,21672929
MSC,DKK1,Unknown,19148141
MSC,IFNG,Activation,19561533
MSC,IL10,Activation,19561533
NFE2L2,CAT,Activation,22493435
NFE2L2,CXCL8,Activation,21925595
NFE2L2,HMOX1,Activation,16551619;21982894;22484158
NFE2L2,HMOX1,Repression,22459801
NFE2L2,HMOX1,Unknown,17942419;24035498
NFE2L2,MTHFR,Activation,16551619
NFE2L2,SOD1,Activation,22493435
NFE2L2,SOD2,Activation,22493435
NFIC,FHL5,Activation,16565071
NFIC,CCL2,Activation,16206198
NFIC,COL18A1,Unknown,11093745
NFIC,GFAP,Unknown,19540848
NFIC,SMUG1,Activation,14642566
NR3C1,BAX,Activation,17496926
NR3C1,CSF1R,Unknown,11891846
NR3C1,CYP19A1,Activation,16740737
NR3C1,MAOA,Unknown,16728402
NR3C1,NR3C1,Unknown,22516378
NR3C1,TP53,Repression,17016446
PARP1,BCL2,Repression,20564216
PARP1,BRCA2,Repression,18990703
PARP1,HFE,Unknown,24184271
PARP1,IFNG,Unknown,17177976
PARP1,IL10,Unknown,20181890
PARP1,SERPINE1,Activation,22159350
PARP1,SERPINF1,Repression,18312852
PPARA,APOB,Activation,11925428
PPARA,APOB,Repression,16542871
PPARA,CD36,Unknown,16713233;20110263
PPARA,CETP,Activation,18481130
PPARA,HMOX1,Unknown,17413033
PPARA,IL6,Unknown,15001458
PPARA,IL6R,Repression,14764586
PPARA,LPL,Activation,10634806
PPARA,MMP9,Repression,21840940
PPARA,PTGS2,Activation,11412039
PPARA,SERPINE1,Activation,15631825
PPARA,SERPINE1,Unknown,12667383
PPARA,SOD2,Unknown,19958503
PPARG,ADIPOQ,Activation,20484463
PPARG,ADIPOQ,Unknown,18373719;19833717
PPARG,AGER,Repression,18855759
PPARG,APOB,Repression,16542871
PPARG,BCL2,Activation,15067355
PPARG,BCL2,Repression,14960510
PPARG,CAT,Unknown,20075562
PPARG,CAV1,Unknown,17764562
PPARG,CD36,Activation,11795270
PPARG,CD36,Unknown,15104237;17322100
PPARG,HMOX1,Unknown,17413033
PPARG,MMP9,Repression,20021931
PPARG,PTGS2,Activation,11412039
PPARG,PTGS2,Repression,14555539;16506021
PPARG,PTGS2,Unknown,10827178;11278336
PPARG,REN,Repression,18483152
PPARG,REN,Unknown,17785633
PPARG,SERPINE1,Unknown,10073956
PPARG,SLC2A4,Repression,16670091
PPARG,TP53,Activation,14960510;16887883
PPARG,VLDLR,Activation,19861583
PPARGC1A,MFN2,Activation,17828388
RELB,CD40,Unknown,11027342
REST,BDNF,Repression,18075316;18518926
REST,DYRK1A,Unknown,21252229
REST,TH,Activation,16764822
REST,TH,Repression,16764822
SIRT1,ABCB1,Activation,20713551
SIRT1,CFH,Repression,17558024
SIRT1,CTNNB1,Repression,22245592
SIRT1,HSF1,Activation,23349863
SIRT1,HSF1,Unknown,19229036
SIRT1,HSPA4,Unknown,23349863
SIRT1,IL1B,Unknown,21245135
SIRT1,MMP9,Repression,19376817;21474819
SIRT1,PPARG,Repression,15850715
SIRT1,TNF,Unknown,21245135
SIRT1,TP53,Activation,23661372
SIRT1,TP53,Repression,15130752;15632193
SPI1,CCL2,Activation,24429361
SPI1,CD40,Activation,10823830
SPI1,CD68,Repression,12676954
SPI1,DAPK2,Unknown,24038216
SPI1,GATA1,Activation,20304827
SPI1,GATA1,Unknown,11001896
SPI1,IL18,Unknown,14991611
SPI1,IL1B,Activation,17386941
SPI1,IL1B,Unknown,10801783
SPI1,MAPK1,Repression,22075620
SPI1,MME,Unknown,15892171
SPI1,SCARB1,Unknown,8007948
SPI1,TLR4,Activation,16785240;20956019
SPI1,TLR4,Unknown,10734131
SPI1,TNF,Unknown,10748079
TCF3,AICDA,Unknown,18203819
TCF3,INS,Unknown,10567574;9665477
TCF7L2,ABCB1,Unknown,10987283
TCF7L2,CTNNB1,Unknown,24317174
TCF7L2,WWC1,Unknown,24072042
TCF7L2,PTGS2,Unknown,11396184
TP53,ABCB1,Repression,10029407
TP53,ABCB1,Unknown,18234965
TP53,AKT1,Repression,12485897
TP53,ALOX5,Unknown,17018618
TP53,BAX,Activation,10101800;10566557;15851483;17280505;17693666;18172861;20673369;22532570;22732402;9000137
TP53,BAX,Unknown,10559267;11278953;12851404;15988033;19067706;21859835
TP53,BCL2,Repression,11313951;17693666;19411072;20428827;9000137
TP53,BCL2,Unknown,21859835
TP53,BCL3,Repression,12808109
TP53,BRCA2,Repression,18765668;9619832
TP53,CASP1,Unknown,11278253
TP53,CASP3,Unknown,21859835
TP53,CAV1,Activation,10684646
TP53,CDK1,Repression,12889596
TP53,CDK1,Unknown,19067706
TP53,CTNNB1,Repression,19411072
TP53,CTSD,Activation,10029407
TP53,DKK1,Unknown,15229249
TP53,ESR1,Unknown,21655924
TP53,FAS,Activation,10101800;11313989
TP53,FAS,Unknown,16317104
TP53,HSF1,Unknown,20180806
TP53,IGF1R,Repression,12444079;17097318
TP53,IGF1R,Unknown,11001824;17600529
TP53,OGG1,Activation,16293709
TP53,POLD1,Unknown,11375983
TP53,PPARGC1A,Unknown,19139068
TP53,PTPA,Repression,10787423
TP53,PRKAB1,Unknown,12771025
TP53,S100B,Activation,15178678
TP53,TCF7L2,Repression,14990988
TP53,TP53,Activation,22532570
TP53,TP53,Unknown,11032029;16990849
TP53,VEGFA,Activation,16684540
TP53,VEGFA,Repression,11559575
VDR,CALB1,Activation,1317496
VDR,CD14,Activation,16402404
VDR,CXCL8,Activation,9431991
VDR,CXCL8,Unknown,24250750
VDR,HLA-DRB1,Unknown,19956544
VDR,IL10,Repression,20691220
VDR,IL6,Repression,11050002
