TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
AR,VEGFA,Activation,16007189
AR,VEGFA,Unknown,23369005
AR,VIM,Repression,18535113
FOXO3,AR,Activation,16061480
FOXO3,AR,Unknown,17522055
FOXO3,SIRT1,Activation,23525956
FOXO3,VEGFA,Unknown,21860419
FUS,AR,Unknown,21909421
KHDRBS1,AR,Unknown,18273831
SIRT1,FOXO3,Repression,17558024;21841822
SIRT1,TNF,Unknown,21245135
SIRT1,TP53,Activation,23661372
SIRT1,TP53,Repression,15130752;15632193
STAT3,AR,Unknown,23906537
STAT3,BCL2,Activation,15184887;15805299;18839277;19926637;21435102;22504301
STAT3,BCL2,Repression,22313388
STAT3,BCL2,Unknown,18320073;20043094;20446017;21172343;21344490;21385902
STAT3,GFAP,Activation,21833841
STAT3,GFAP,Unknown,11740937
STAT3,HGF,Activation,12168776
STAT3,HGF,Unknown,23954444
STAT3,HP,Unknown,17645497
STAT3,HSPB1,Activation,14715258
STAT3,NOX1,Unknown,19834108
STAT3,TP53,Unknown,20043094
STAT3,VEGFA,Unknown,23104276
STAT3,VEGFA,Activation,11960372;15735682;17169602;17533737;19284568;19880237;21278793;21418908
STAT3,VEGFA,Repression,17533737;19880237;22313388
STAT3,VEGFA,Unknown,12824281;16540670;16899623;17937859;18184402;18320073;19020709;20043094;21172343;21344490;21731766;25101566
TP53,BCL2,Repression,11313951;17693666;19411072;20428827;9000137
TP53,BCL2,Unknown,21859835
TP53,FOXO3,Unknown,19299143
TP53,FUS,Unknown,12364590
TP53,GSTP1,Activation,18505928
TP53,S100B,Activation,15178678
TP53,STAT3,Repression,11809683
TP53,TP53,Activation,22532570
TP53,TP53,Unknown,11032029;16990849
TP53,VEGFA,Activation,16684540
TP53,VEGFA,Repression,11559575
ZEB2,VIM,Activation,22227038
